衛星名稱,NORAD ID,軌道,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-31176,58745,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31148,58741,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31157,58735,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30235,57294,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31164,58733,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-32664,62204,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32784,62607,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31852,59841,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31413,59353,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31501,59359,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32665,62203,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31859,59848,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32767,62601,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31889,59847,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32675,62208,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30864,58243,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31922,59846,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32671,62209,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32742,62605,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32747,62600,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31857,59843,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30881,58251,43deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31555,59351,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31559,59358,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32667,62201,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32710,62604,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32448,62206,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31903,59845,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32769,62602,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31906,59842,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32655,62202,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32783,62606,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31593,59350,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31416,59355,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31422,59354,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31895,59849,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31552,59356,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32647,62200,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31851,59844,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32778,62603,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31561,59352,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32430,62207,43deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35464,65881,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31772,59430,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35418,65879,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31700,59436,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31773,59429,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31706,59437,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31613,59431,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35462,65877,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31696,59435,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-34688,65875,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31580,59434,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31740,59433,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35445,65880,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34438,65876,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35453,65878,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-31780,59432,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11237,60934,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11207,60933,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11251,60930,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11241,60936,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11253,60935,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11246,60932,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-11204,60931,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37029,68271,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37103,68267,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-36962,68269,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37163,68264,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-36999,68268,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37042,68266,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37162,68262,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32191,60314,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32199,60320,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-37133,68265,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32190,60318,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32848,62808,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37156,68263,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32192,60316,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32883,62806,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-37028,68270,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32194,60315,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32886,62807,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32189,60317,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32787,62809,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-32182,60319,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30913,58388,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30934,58395,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30916,58391,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30882,58379,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35270,65882,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30923,58381,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35367,65883,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30930,58385,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30921,58383,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30898,58387,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-30939,58393,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-35384,65884,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-30938,58389,53deg,Starlink v1.5,2021-01-24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-32009,60104,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32035,60107,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32040,60109,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32042,60108,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32013,60103,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31954,60102,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32015,60111,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32001,60110,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32045,60106,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32018,60105,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32262,60938,53deg,Starlink v2 Mini,2023-02-27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-35148,65844,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35276,66009,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35308,65848,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35336,66006,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35290,65846,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35262,65847,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35302,65845,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35231,65849,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-34849,66005,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
STARLINK-35236,66008,53deg,Starlink v2 Mini DTC,2024-01-15,展開寬度~4m,800 kg,直達手機(DTC)通訊載荷,氬氣Hall推進器（2.4倍推力）
